"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Carnosine",0.010917,0.018688,-0.10387,0.12319,0.072101,0.047225,0.004248,0.057064,-0.003496,0.044122
"Carnitine",0.087374,-0.031088,-0.03624,0.030399,0.026565,0.013159,-0.0058347,0.01615,-0.0018002,-0.020353
"Carboxymethyllysine",-0.033907,0.01608,0.074701,-0.010364,-0.044876,-0.21704,-0.028562,0.021344,-0.027807,-0.032841
"Betonicine",-0.091955,0.006383,0.019112,-0.010025,0.0026069,-0.023938,-0.028162,-0.019493,0.022619,-0.012964
"Betaine aldehyde_H2O",0.071814,0.00096691,0.044314,0.06237,0.072538,-0.057698,0.082358,-0.045592,0.012108,-0.02064
"Betaine",-0.053343,0.032991,0.1072,0.032375,0.079238,0.036138,0.01269,0.047324,0.025601,-0.016914
"Benzoic acid",0.033883,-0.023939,-0.047016,-0.12132,0.029828,0.088353,-0.027859,-0.1001,0.13519,0.0013218
"ATP",-0.046269,0.030498,0.12122,-0.011273,0.026732,-0.023212,0.102,-0.006846,0.048074,0.045958
"Asp",0.065847,-0.076286,0.01089,0.012574,-0.0011088,0.11992,-0.057409,0.053125,0.022428,0.012297
"Asn",-0.051701,0.054308,0.041814,0.12338,-0.017156,-0.0067582,-0.062148,-0.0089902,0.076419,-0.03887
"Ascorbic acid",-0.063174,-0.073014,-0.045057,-0.067199,0.029514,0.018667,-0.063224,-0.036323,0.069547,0.037142
"Argininosuccinic acid",-0.081626,-0.054107,0.044634,-0.0012708,-0.018843,0.01127,0.02744,-0.051047,0.0044247,-0.011043
"Arg-Glu",-0.062238,0.017545,-0.078074,0.094869,-0.013194,-0.04836,-0.055348,-0.00094118,0.03683,0.0066655
"Arg",-0.084629,-0.0080502,-0.014695,0.02096,-0.065517,0.078789,0.0041447,0.023549,-0.011061,-0.010177
"Anthranilic acid",0.0092013,-0.10082,0.024218,0.011514,0.10883,-0.055132,-0.14361,0.030391,-0.048124,-0.0041429
"AMP",0.065111,-0.070711,0.051178,-0.013577,-0.031537,-0.071402,0.077564,0.029786,-0.068892,0.022732
"Ala-Ala",-0.019509,0.043496,-0.13475,0.075861,-0.0038252,0.031307,0.0048892,0.042898,0.011128,-0.029669
"Ala",-0.082734,-0.047891,0.012745,0.053774,-0.020738,0.0061524,-0.035507,0.033615,-0.031459,0.019847
"ADP-ribose",-0.072073,0.055951,-0.030713,0.045916,0.0068304,-0.0080446,0.08961,0.0259,0.10168,-0.0093611
"ADP-glucose  GDP-fucose",-0.044627,0.066998,-0.06149,0.0060436,0.13249,0.077567,-0.04015,0.014798,-0.01419,-0.045143
"ADP",-0.032206,0.025317,0.12656,-0.013559,0.023112,-0.033736,0.13426,0.03172,0.031569,-0.022474
"ADMA",0.021523,-0.057264,-0.0073142,0.11155,-0.10645,0.064059,0.020407,0.11366,-0.09563,-0.043134
"Adipic acid",0.088058,-0.0057723,-0.028483,-0.0093792,-0.058467,0.0068983,-0.017062,-0.016066,-0.042422,-0.0041978
"Adenylosuccinic acid",-0.0078096,-0.082812,0.081445,0.0094496,0.014074,0.14782,-0.08309,0.043471,-0.091239,0.034435
"Adenosine",0.084675,-0.033394,0.036987,-0.037804,0.015235,-0.021502,0.050065,-0.0024906,0.036863,0.0032257
"Adenine",0.079737,-0.021351,0.062155,-0.033304,-0.0016115,-0.055738,-0.0095604,0.065414,-0.020076,-0.026745
"Acetyl CoA_divalent",-0.052518,0.042952,0.11983,-0.022521,0.036959,-0.02569,-0.032431,-0.0046018,0.012404,0.020439
"Acetoacetamide",-0.083844,-0.041632,-0.011762,-0.026763,-0.030687,-0.0073308,-0.0335,-0.070998,0.054425,-0.0113
"7,8-Dihydrobiopterin",0.083176,-0.037164,0.023731,-0.021074,-0.049558,0.0474,-0.00072414,0.056528,0.045565,0.007952
"6-Phosphogluconic acid",-0.083878,0.011708,0.061326,0.00086571,-0.0041559,0.053331,-0.024798,-0.0023904,-0.037158,0.01438
"6-Hydroxyhexanoic acid",-0.059953,-0.0292,-0.034778,-0.03106,0.1211,0.091132,-0.029814,0.018753,-0.10127,0.04136
"6-Aminohexanoic acid",0.0062094,-0.10488,0.029803,0.052617,0.091315,-0.13202,-0.00026561,-0.0079943,0.060382,-0.016833
"5-Oxoproline",0.070519,-0.0040152,-0.062576,0.051745,-0.029357,0.0030272,0.026139,-0.14196,-0.010274,0.022381
"5-Oxohexanoic acid",-0.030624,0.083222,-0.097723,-0.048685,0.079536,0.046303,-0.0061951,0.041558,0.0043935,0.0078088
"5-Oxo-2-tetrahydrofurancarboxylic acid",-0.061044,-0.093158,-0.0042116,0.05514,-0.017678,-0.04903,-0.04382,-0.04971,-0.066427,0.016327
"5-Methyltetrahydrofolic acid",0.012364,-0.039942,-0.12848,0.043361,0.012801,0.076225,-0.0091972,-0.03084,0.13385,-0.037637
"5-Methoxyindoleacetic acid",-0.056164,-0.094397,-0.029133,-0.0057011,-0.070443,-0.0055625,0.098479,-0.042155,0.010254,-0.024641
"5'-Deoxy-5'-methylthioadenosine",0.028738,0.11558,0.062637,-0.010232,-0.077166,0.0409,0.0045667,0.026485,-0.058479,0.026713
"5-Aminovaleric acid",-0.088845,-0.035427,-0.029879,0.0083073,-0.0084285,-0.025275,-0.020708,-0.011332,0.0017659,0.014412
"5-Aminoimidazole-4-carboxamide ribotide",0.0068788,0.051221,-0.075306,-0.018493,0.086099,-0.13165,0.1435,0.071432,-0.052021,-0.01847
"5,6,7,8-Tetrahydrobiopterin",-0.065663,-0.046656,-0.065405,-0.046412,-0.0052388,0.063926,0.10985,-0.033769,-0.015014,0.023184
"4-Guanidinobutyric acid",-0.067008,-0.089145,0.0085161,-0.031463,-0.072896,-0.022879,0.021157,-0.0097762,0.0089708,-0.018486
"4-Amino-3-hydroxybutyric acid",-0.042113,-0.027263,-0.025442,0.11559,0.026479,-0.10638,0.073217,0.094361,-0.1039,0.026368
"3-Ureidopropionic acid",0.0016422,-0.0075093,-0.019069,-0.18212,-0.066483,0.0030831,-0.029943,0.031641,-0.00042701,0.026889
"3-Phosphoglyceric acid",-0.081041,0.03504,0.020778,-0.033215,0.048829,-0.031971,-0.089293,-0.002126,-0.035368,-0.024174
"3-Indoxylsulfuric acid",-0.031976,-0.10879,0.007049,-0.10783,-0.051057,-0.0069691,-0.0061931,-0.00011258,0.026301,-0.042035
"3-Hydroxybutyric acid",0.088149,0.0051744,-0.039527,0.0024933,-0.0068844,0.012183,-0.010688,-0.075406,-0.011816,-0.012376
"3-Hydroxy-3-methylglutaric acid",0.07343,0.023816,-0.00085315,0.028065,-0.10813,0.06808,-0.0059101,0.055495,-0.061524,-0.029848
"3'-Dephospho CoA",-0.059503,0.0096953,-0.092407,0.0015209,0.040094,0.056986,-0.016643,0.094221,0.11541,0.008766
"3-Aminoisobutyric acid",0.05811,-0.086528,-0.045693,0.050545,-0.0077097,0.039862,-0.012912,0.11158,0.017179,-0.025945
"3-Aminobutyric acid",0.09115,-0.011795,-0.021056,0.029564,-0.0066452,0.00089516,-0.00024779,-0.033138,-0.013416,0.0093397
"3',5'-ADP",0.08108,-0.0083802,0.032095,0.052061,-0.043222,0.077643,0.041409,0.034825,0.0041602,0.0073862
"2-Phosphoglyceric acid",-0.079038,0.027007,0.010758,-0.036168,0.048124,-0.032118,-0.11823,0.013152,-0.032243,0.013544
"2-Methylserine",-0.067938,-0.052826,-0.051758,0.019979,-0.019436,-0.05513,-0.12413,-0.04046,-0.039012,0.004552
"2-Hydroxyvaleric acid",0.075453,-0.033274,-0.048411,0.039444,0.057989,0.046184,-0.041748,-0.082731,-0.012055,0.010772
"2-Hydroxyisobutyric acid",0.078345,0.032196,-0.049866,0.059842,-0.015883,-0.030715,0.038396,-0.051851,0.037353,-0.0060108
"2-Hydroxybutyric acid",-0.017189,-0.1264,-0.051647,0.068752,-0.013114,-0.015576,0.033976,-0.04589,-0.017817,0.019832
"2-Hydroxy-4-methylvaleric acid",0.0070763,0.014605,-0.13077,-0.015163,0.091239,0.085977,-0.034329,-0.075303,-0.034837,0.00041084
"2-Deoxyglucose 6-phosphate",0.075154,-0.054525,0.00010817,0.021348,0.081884,-0.021958,-0.028879,-0.0040757,0.093998,0.0072882
"2-Aminobutyric acid",0.070364,-0.05364,-0.042617,0.064925,-0.072132,0.036593,-0.0072763,-0.040155,0.0046018,0.017783
"2-Aminoadipic acid",-0.014056,-0.13658,-0.042218,0.035568,-0.0020792,0.019998,0.001989,0.052711,0.059561,0.0022718
"2,6-Diaminopimelic acid",0.081618,-0.012619,8.1575e-05,0.055764,-0.0055372,0.023056,-0.070418,0.038799,-0.097721,0.032263
"2,4-Diaminobutyric acid",-0.079494,-0.017112,-0.018418,-0.0020575,0.051329,0.053215,-0.083104,0.096492,-0.031557,-0.016665
"2,3-Diphosphoglyceric acid",-0.048626,0.061667,0.062047,-0.014138,-0.072091,0.010943,-0.040252,-0.17304,0.036608,0.024863
"2,3-Diaminopropionic acid",-0.034572,0.030112,0.019454,0.14447,0.0038118,0.07154,-0.094553,0.022908,-0.10377,0.021703
"1-Pyrroline 5-carboxylic acid",-0.033362,-0.098054,-0.052881,-0.0090878,-0.059806,0.062979,0.133,0.036762,0.04867,0.018727
"1-Methylnicotinamide",-0.0069642,0.11527,-0.088085,-0.019462,0.0070122,-0.0045154,0.084174,-0.054183,0.014611,-0.020238
"1-Methylhistidine  3-Methylhistidine",0.055946,-0.05868,-0.062761,0.061058,-0.0094598,0.071362,-0.020042,-0.11025,-0.085861,0.027344
"1-Methylhistamine",0.017202,-0.054627,-0.029152,-0.14825,0.039528,0.092998,0.047324,-0.065088,0.047698,-0.01191
"1-Methyladenosine",0.071963,0.0062996,0.040328,0.033508,-0.043581,0.1083,-0.025533,-0.070697,0.099731,0.002862
"1-Methyl-4-imidazoleacetic acid",0.08275,-0.033574,-0.031235,-0.030473,0.036681,-0.033724,0.03387,0.020964,-0.082194,-0.025913
"1-Methyl-2-pyrrolidone",-0.04567,-0.021721,-0.0016294,-0.052048,0.14486,-0.10079,0.099501,0.056724,-0.01701,-0.048757
"1H-Imidazole-4-propionic acid",-0.058203,-0.046955,-0.083056,0.024829,0.055249,-0.077662,-0.097524,0.0092749,-0.016475,0.051154
